ibge_code,population
2909109,14149
2909208,15717
2909307,32191
2909406,13769
2909505,5351
2909604,21163
2909703,13947
2909802,63591
2909901,34886
2910008,10525
2910057,82432
2910107,12240
2910206,4065
2910305,8126
2910404,16446
2910503,41901
2910602,37578
2910701,60858
2910727,114396
2910750,17845
2910776,5661
2910800,619609
2910859,16345
2910909,5629
2911006,10575
2911105,25857
2911204,32596
2911253,4440
2911303,11259
2911402,15234
2911501,6985
2911600,20762
2911659,6646
2911709,84928
2911808,20700
2911857,12987
2911907,24121
2912004,9031
2912103,21378
2912202,19786
2912301,16230
2912400,18319
2912509,14947
2912608,4046
2912707,23404
2912806,8690
2912905,14882
2913002,16403
2913101,17080
2913200,27003
2913309,6220
2913408,15650
2913457,13091
2913507,26963
2913606,159923
2913705,40333
2913804,14354
