ibge_code,population,date
2506004,33199,2020
2506103,11215,2020
2506202,2989,2020
2506251,8303,2020
2506301,59115,2020
2506400,14127,2020
2506509,3453,2020
2506608,5903,2020
2506707,11848,2020
2506806,18144,2020
2506905,24419,2020
2507002,24828,2020
2507101,18823,2020
2507200,11016,2020
2507309,14450,2020
2507408,7745,2020
2507507,817511,2020
2507606,7976,2020
2507705,18298,2020
2507804,7195,2020
2507903,10793,2020
2508000,9849,2020
2508109,4653,2020
2508208,7737,2020
2508307,27617,2020
2508406,2718,2020
2508505,7265,2020
2508554,4369,2020
2508604,13214,2020
2508703,3999,2020
2508802,5752,2020
2508901,45136,2020
2509008,10972,2020
2509057,8653,2020
2509107,21866,2020
2509156,6654,2020
2509206,13998,2020
2509305,8539,2020
2509339,4515,2020
2509370,2926,2020
2509396,6630,2020
2509404,13261,2020
2509503,5738,2020
2509602,4842,2020
2509701,33433,2020
2509800,9932,2020
2509909,10451,2020
2510006,7286,2020
2510105,10626,2020
2510204,5920,2020
2510303,4959,2020
2510402,6462,2020
2510501,3961,2020
2510600,3046,2020
2510659,1758,2020
2510709,2436,2020
2510808,108192,2020
2510907,12379,2020
2511004,3802,2020
2511103,7899,2020
2511202,28533,2020
2511301,16111,2020
2511400,18720,2020
2511509,11977,2020
2511608,6576,2020
2511707,4955,2020
2511806,10584,2020
2511905,19275,2020
2512002,18708,2020
2512036,3882,2020
2512077,4337,2020
2512101,32802,2020
2512200,4238,2020
